Channel,Energy,Counts
     773,     164.9324,         19
     774,     165.1511,         18
     775,     165.3699,         15
     776,     165.5886,         21
     777,     165.8073,         17
     778,     166.0260,         14
     779,     166.2447,         14
     780,     166.4634,         21
     781,     166.6821,         10
     782,     166.9009,         17
     783,     167.1196,         18
     784,     167.3383,         14
     785,     167.5570,         12
     786,     167.7757,         16
     787,     167.9944,         19
     788,     168.2132,         14
     789,     168.4319,         17
     790,     168.6506,         11
     791,     168.8693,         14
     792,     169.0880,         17
     793,     169.3067,          8
     794,     169.5255,         16
     795,     169.7442,         14
     796,     169.9629,         17
     797,     170.1816,         19
     798,     170.4003,         16
     799,     170.6190,         13
     800,     170.8377,         19
     801,     171.0565,         14
     802,     171.2752,         21
     803,     171.4939,         16
     804,     171.7126,         13
     805,     171.9313,          7
     806,     172.1500,         14
     807,     172.3688,         22
     808,     172.5875,         25
     809,     172.8062,         13
     810,     173.0249,         16
     811,     173.2436,         15
     812,     173.4623,         13
     813,     173.6811,         13
     814,     173.8998,         20
     815,     174.1185,         16
     816,     174.3372,         18
     817,     174.5559,         16
     818,     174.7746,         14
     819,     174.9933,         14
     820,     175.2121,         13
     821,     175.4308,         11
     822,     175.6495,         13
     823,     175.8682,         28
     824,     176.0869,         21
     825,     176.3056,         15
     826,     176.5244,         14
     827,     176.7431,         10
     828,     176.9618,         13
     829,     177.1805,         21
     830,     177.3992,         11
     831,     177.6179,         14
     832,     177.8367,         20
     833,     178.0554,         12
     834,     178.2741,         11
     835,     178.4928,         11
     836,     178.7115,         14
     837,     178.9302,         17
     838,     179.1489,         16
     839,     179.3677,         18
     840,     179.5864,         20
     841,     179.8051,         15
     842,     180.0238,         22
     843,     180.2425,         13
     844,     180.4612,         11
     845,     180.6800,         17
     846,     180.8987,         15
     847,     181.1174,          9
     848,     181.3361,         16
     849,     181.5548,         13
     850,     181.7735,         10
     851,     181.9923,         20
     852,     182.2110,          9
     853,     182.4297,         18
     854,     182.6484,         16
     855,     182.8671,          8
     856,     183.0858,         20
     857,     183.3045,         13
     858,     183.5233,         13
     859,     183.7420,         10
     860,     183.9607,         14
     861,     184.1794,         17
     862,     184.3981,         19
     863,     184.6168,         21
     864,     184.8356,         12
     865,     185.0543,         15
     866,     185.2730,         13
     867,     185.4917,         17
     868,     185.7104,         18
     869,     185.9291,         21
     870,     186.1479,         18
     871,     186.3666,         12
     872,     186.5853,         14
     873,     186.8040,         18
     874,     187.0227,         12
     875,     187.2414,         11
     876,     187.4602,         12
     877,     187.6789,         24
     878,     187.8976,         17
     879,     188.1163,         14
     880,     188.3350,         16
     881,     188.5537,         17
     882,     188.7724,         14
     883,     188.9912,          6
     884,     189.2099,         17
     885,     189.4286,         16
     886,     189.6473,         16
     887,     189.8660,         16
     888,     190.0847,         20
     889,     190.3035,         17
     890,     190.5222,         11
     891,     190.7409,         20
     892,     190.9596,         21
     893,     191.1783,         20
     894,     191.3970,         13
     895,     191.6158,         11
     896,     191.8345,         14
     897,     192.0532,         10
     898,     192.2719,         12
     899,     192.4906,         20
     900,     192.7093,         15
     901,     192.9280,         18
     902,     193.1468,         16
     903,     193.3655,         15
     904,     193.5842,         18
     905,     193.8029,         18
     906,     194.0216,         15
     907,     194.2403,         10
     908,     194.4591,         21
     909,     194.6778,         15
     910,     194.8965,         13
     911,     195.1152,         20
     912,     195.3339,         19
     913,     195.5526,         15
     914,     195.7714,          9
     915,     195.9901,         14
     916,     196.2088,         17
     917,     196.4275,         18
     918,     196.6462,         10
     919,     196.8649,         11
     920,     197.0836,         10
     921,     197.3024,          9
     922,     197.5211,         14
     923,     197.7398,         19
     924,     197.9585,         11
     925,     198.1772,         12
     926,     198.3959,         13
     927,     198.6147,         19
     928,     198.8334,         17
     929,     199.0521,         13
     930,     199.2708,         13
     931,     199.4895,          9
     932,     199.7082,         20
     933,     199.9270,         21
     934,     200.1457,         14
     935,     200.3644,         12
     936,     200.5831,          9
     937,     200.8018,          8
     938,     201.0205,         14
     939,     201.2392,         16
     940,     201.4580,         21
     941,     201.6767,         12
     942,     201.8954,         13
     943,     202.1141,         12
     944,     202.3328,         19
     945,     202.5515,         13
     946,     202.7703,         15
     947,     202.9890,         15
     948,     203.2077,         15
     949,     203.4264,         14
     950,     203.6451,          9
     951,     203.8638,         11
     952,     204.0826,         12
     953,     204.3013,         15
     954,     204.5200,         15
     955,     204.7387,         13
     956,     204.9574,         23
     957,     205.1761,         10
     958,     205.3948,         12
     959,     205.6136,         11
     960,     205.8323,         14
     961,     206.0510,         12
     962,     206.2697,         13
     963,     206.4884,         11
     964,     206.7071,         18
     965,     206.9259,         18
     966,     207.1446,         13
     967,     207.3633,         21
     968,     207.5820,         13
     969,     207.8007,         12
     970,     208.0194,         14
     971,     208.2382,         10
     972,     208.4569,         15
     973,     208.6756,          8
     974,     208.8943,         18
     975,     209.1130,         16
     976,     209.3317,         16
     977,     209.5504,         16
     978,     209.7692,         18
     979,     209.9879,         11
     980,     210.2066,         20
     981,     210.4253,         20
     982,     210.6440,         11
     983,     210.8627,         18
     984,     211.0815,         16
     985,     211.3002,         15
     986,     211.5189,         14
     987,     211.7376,         20
     988,     211.9563,         15
     989,     212.1750,         14
     990,     212.3938,         16
     991,     212.6125,         30
     992,     212.8312,         12
     993,     213.0499,         17
     994,     213.2686,         14
     995,     213.4873,         12
     996,     213.7060,         15
     997,     213.9248,         11
     998,     214.1435,         25
     999,     214.3622,         16
    1000,     214.5809,         13
    1001,     214.7996,         14
    1002,     215.0183,         18
    1003,     215.2371,         20
    1004,     215.4558,         15
    1005,     215.6745,          9
    1006,     215.8932,         18
    1007,     216.1119,         14
    1008,     216.3306,         24
    1009,     216.5494,         15
    1010,     216.7681,         17
    1011,     216.9868,         18
    1012,     217.2055,         20
    1013,     217.4242,         14
    1014,     217.6429,         18
    1015,     217.8616,          7
    1016,     218.0804,          9
    1017,     218.2991,         22
    1018,     218.5178,         14
    1019,     218.7365,         17
    1020,     218.9552,         13
    1021,     219.1739,         14
    1022,     219.3927,         10
